TimeStamp,ECG Data,EMG Data,EDA Data,label
0,488,502,613.0,1
1,495,503,614.0,1
2,503,504,615.0,1
3,512,508,613.0,1
4,516,510,612.0,1
5,511,510,612.0,1
6,500,511,611.0,1
7,493,514,611.0,1
8,494,515,613.0,1
9,504,514,614.0,1
10,509,510,612.0,1
11,513,512,611.0,1
12,499,512,610.0,1
13,491,510,611.0,1
14,501,509,613.0,1
15,517,510,612.0,1
16,527,514,610.0,1
17,515,513,609.0,1
18,506,512,609.0,1
19,516,509,611.0,1
20,534,510,612.0,1
21,545,512,610.0,1
22,537,512,609.0,1
23,518,510,608.0,1
24,515,509,610.0,1
25,525,509,611.0,1
26,531,510,609.0,1
27,526,510,608.0,1
28,508,512,608.0,1
29,494,512,608.0,1
30,500,512,610.0,1
31,503,509,609.0,1
32,509,512,608.0,1
33,494,511,607.0,1
34,482,512,607.0,1
35,486,512,609.0,1
36,495,510,609.0,1
37,503,510,607.0,1
38,500,510,607.0,1
39,484,510,606.0,1
40,482,510,608.0,1
41,495,511,609.0,1
42,503,512,607.0,1
43,506,511,606.0,1
44,486,508,605.0,1
45,485,511,606.0,1
46,505,512,608.0,1
47,531,512,607.0,1
48,554,507,606.0,1
49,580,508,605.0,1
50,619,508,605.0,1
51,681,509,607.0,1
52,735,508,608.0,1
53,749,509,606.0,1
54,682,512,605.0,1
55,593,512,605.0,1
56,530,511,606.0,1
57,494,510,607.0,1
58,482,512,606.0,1
59,482,514,604.0,1
60,464,513,604.0,1
61,451,512,604.0,1
62,458,512,606.0,1
63,466,512,606.0,1
64,471,511,604.0,1
65,457,507,604.0,1
66,445,508,603.0,1
67,447,507,605.0,1
68,465,511,606.0,1
69,472,510,604.0,1
70,474,510,603.0,1
71,463,513,603.0,1
72,460,513,604.0,1
73,472,512,606.0,1
74,484,513,604.0,1
75,492,513,603.0,1
76,481,514,602.0,1
77,471,513,603.0,1
78,472,505,605.0,1
79,487,508,604.0,1
80,501,512,603.0,1
81,494,512,602.0,1
82,473,505,602.0,1
83,478,506,604.0,1
84,494,509,604.0,1
85,506,510,603.0,1
86,507,510,602.0,1
87,493,511,601.0,1
88,488,509,602.0,1
89,500,509,604.0,1
90,509,508,603.0,1
91,517,508,601.0,1
92,506,511,601.0,1
93,496,511,601.0,1
94,499,506,603.0,1
95,515,508,603.0,1
96,530,513,601.0,1
97,523,514,600.0,1
98,507,512,600.0,1
99,506,510,602.0,1
100,517,508,603.0,1
101,529,510,601.0,1
102,531,511,600.0,1
103,512,509,599.0,1
104,511,512,601.0,1
105,524,512,602.0,1
106,537,514,601.0,1
107,541,512,600.0,1
108,527,513,599.0,1
109,519,514,599.0,1
110,527,514,602.0,1
111,535,510,601.0,1
112,539,508,599.0,1
113,532,510,599.0,1
114,516,511,598.0,1
115,515,510,600.0,1
116,525,507,601.0,1
117,539,512,599.0,1
118,540,514,598.0,1
