TimeStamp,ECG Data,EMG Data,EDA Data,label
0,568,515,477.0,1
1,526,514,478.0,1
2,404,509,480.0,1
3,312,509,481.0,1
4,334,512,479.0,1
5,428,517,478.0,1
6,483,517,477.0,1
7,489,504,477.0,1
8,471,493,477.0,1
9,368,502,480.0,1
10,294,503,480.0,1
11,416,510,478.0,1
12,489,502,477.0,1
13,487,503,477.0,1
14,423,504,479.0,1
15,305,511,481.0,1
16,371,510,479.0,1
17,482,503,477.0,1
18,497,507,477.0,1
19,467,507,478.0,1
20,336,504,481.0,1
21,326,497,480.0,1
22,464,512,478.0,1
23,507,512,477.0,1
24,492,509,477.0,1
25,384,499,480.0,1
26,309,509,480.0,1
27,432,520,478.0,1
28,511,524,477.0,1
29,503,507,477.0,1
30,440,505,479.0,1
31,319,511,481.0,1
32,384,513,479.0,1
33,500,515,477.0,1
34,512,506,477.0,1
35,483,510,478.0,1
36,355,517,480.0,1
37,343,514,479.0,1
38,478,515,478.0,1
39,520,511,477.0,1
40,505,508,477.0,1
41,402,507,480.0,1
42,319,499,480.0,1
43,440,512,478.0,1
44,520,512,477.0,1
45,515,505,476.0,1
46,453,503,479.0,1
47,330,506,480.0,1
48,394,513,478.0,1
49,512,518,477.0,1
50,525,509,477.0,1
51,494,504,478.0,1
52,366,512,480.0,1
53,354,517,479.0,1
54,489,517,477.0,1
55,529,504,477.0,1
56,518,510,477.0,1
57,417,512,480.0,1
58,333,511,480.0,1
59,444,501,478.0,1
60,527,506,477.0,1
61,527,511,476.0,1
62,470,516,479.0,1
63,339,501,480.0,1
64,395,496,478.0,1
65,519,515,477.0,1
66,538,516,476.0,1
67,507,510,477.0,1
68,378,513,480.0,1
69,362,518,479.0,1
70,499,525,477.0,1
71,544,519,477.0,1
72,522,495,477.0,1
73,417,485,479.0,1
74,330,487,480.0,1
75,448,497,478.0,1
76,533,501,477.0,1
77,534,506,476.0,1
78,480,516,479.0,1
79,355,520,480.0,1
80,408,514,478.0,1
81,528,516,477.0,1
82,546,514,476.0,1
83,518,512,477.0,1
84,385,507,480.0,1
85,363,504,479.0,1
86,503,520,477.0,1
87,552,522,477.0,1
88,538,517,477.0,1
89,434,501,479.0,1
90,340,493,480.0,1
91,453,496,478.0,1
92,545,514,477.0,1
93,543,510,476.0,1
94,488,513,478.0,1
95,361,517,480.0,1
96,415,520,478.0,1
97,534,513,477.0,1
98,552,511,477.0,1
99,524,507,477.0,1
100,393,502,480.0,1
101,365,496,479.0,1
102,501,498,478.0,1
103,550,501,477.0,1
104,538,501,477.0,1
105,443,504,479.0,1
106,347,496,480.0,1
107,463,510,478.0,1
108,553,516,477.0,1
109,552,512,477.0,1
110,492,497,479.0,1
111,366,509,481.0,1
112,417,515,479.0,1
113,543,521,477.0,1
114,556,502,477.0,1
115,530,502,478.0,1
116,406,515,480.0,1
117,377,514,480.0,1
118,511,511,478.0,1
119,561,508,477.0,1
120,551,516,477.0,1
121,454,510,480.0,1
122,358,507,480.0,1
123,463,496,478.0,1
124,556,508,477.0,1
125,559,516,477.0,1
126,505,514,479.0,1
127,369,498,481.0,1
128,418,508,479.0,1
129,546,522,477.0,1
130,566,516,477.0,1
131,540,511,478.0,1
132,414,516,480.0,1
133,383,520,480.0,1
134,520,524,478.0,1
135,565,504,477.0,1
136,544,481,477.0,1
137,448,476,480.0,1
138,351,479,480.0,1
139,466,500,478.0,1
140,557,501,477.0,1
141,558,499,477.0,1
142,509,505,479.0,1
143,378,507,481.0,1
144,417,499,479.0,1
145,545,508,477.0,1
146,568,511,477.0,1
147,544,510,478.0,1
148,413,501,480.0,1
149,378,503,480.0,1
150,518,515,478.0,1
151,574,520,477.0,1
152,560,512,477.0,1
153,464,500,480.0,1
154,366,504,481.0,1
155,473,512,478.0,1
156,567,515,477.0,1
157,560,493,477.0,1
158,503,478,479.0,1
159,368,475,481.0,1
160,406,476,479.0,1
161,538,486,478.0,1
162,560,482,477.0,1
163,534,478,478.0,1
164,408,479,480.0,1
165,372,489,480.0,1
166,514,501,478.0,1
167,568,498,477.0,1
168,553,487,477.0,1
169,462,487,480.0,1
170,357,482,481.0,1
171,462,488,479.0,1
172,559,493,477.0,1
173,560,490,477.0,1
174,511,491,479.0,1
175,375,489,481.0,1
176,410,487,479.0,1
177,543,496,478.0,1
178,567,493,477.0,1
179,541,488,478.0,1
180,414,489,481.0,1
181,371,488,480.0,1
182,511,498,478.0,1
183,568,493,477.0,1
184,554,485,477.0,1
185,465,482,480.0,1
186,360,484,481.0,1
187,462,489,479.0,1
188,561,494,478.0,1
189,562,488,477.0,1
190,513,486,479.0,1
191,379,494,481.0,1
192,410,492,479.0,1
193,544,498,478.0,1
194,569,494,477.0,1
195,546,490,478.0,1
196,421,492,481.0,1
197,375,492,480.0,1
198,517,504,478.0,1
199,577,505,477.0,1
200,563,498,477.0,1
201,474,492,480.0,1
202,365,491,481.0,1
203,465,495,479.0,1
204,567,501,478.0,1
205,569,494,477.0,1
206,521,489,479.0,1
207,385,491,481.0,1
208,413,491,480.0,1
209,548,497,478.0,1
210,574,492,477.0,1
211,550,488,478.0,1
212,426,488,481.0,1
213,375,487,480.0,1
214,514,498,479.0,1
215,575,497,478.0,1
216,564,494,477.0,1
217,478,490,480.0,1
218,368,490,481.0,1
219,466,494,479.0,1
220,570,501,478.0,1
221,572,496,477.0,1
222,525,491,479.0,1
223,390,491,481.0,1
224,414,492,480.0,1
225,551,502,478.0,1
226,578,496,478.0,1
227,556,492,478.0,1
228,439,507,481.0,1
229,386,508,481.0,1
230,523,516,479.0,1
231,588,524,478.0,1
232,578,519,477.0,1
233,492,509,480.0,1
234,381,511,481.0,1
235,477,518,479.0,1
236,580,519,478.0,1
237,582,509,478.0,1
238,538,509,479.0,1
239,406,519,481.0,1
240,429,522,480.0,1
241,563,526,479.0,1
242,591,520,478.0,1
243,570,519,478.0,1
244,450,519,481.0,1
245,392,516,481.0,1
246,525,515,479.0,1
247,591,520,478.0,1
248,583,522,478.0,1
249,503,521,480.0,1
250,388,516,481.0,1
251,480,524,479.0,1
252,588,533,478.0,1
253,594,532,478.0,1
254,549,521,479.0,1
255,412,516,482.0,1
256,427,513,480.0,1
257,564,523,479.0,1
258,593,517,478.0,1
259,570,507,478.0,1
260,448,503,481.0,1
261,387,499,481.0,1
262,521,504,479.0,1
263,588,505,478.0,1
264,582,510,478.0,1
265,509,522,480.0,1
266,394,524,482.0,1
267,478,513,480.0,1
268,587,524,478.0,1
269,594,523,478.0,1
270,553,519,479.0,1
271,413,508,482.0,1
272,426,508,480.0,1
273,564,518,479.0,1
274,596,517,478.0,1
275,575,510,478.0,1
276,457,507,481.0,1
277,397,516,481.0,1
278,531,526,479.0,1
279,599,528,478.0,1
280,582,503,478.0,1
281,500,487,480.0,1
282,380,483,482.0,1
283,465,486,480.0,1
284,575,494,479.0,1
285,583,493,478.0,1
286,551,509,479.0,1
287,419,519,482.0,1
288,428,516,481.0,1
289,562,513,479.0,1
290,595,514,478.0,1
291,575,507,479.0,1
292,457,503,481.0,1
293,391,504,481.0,1
294,522,508,479.0,1
295,593,513,478.0,1
296,588,520,478.0,1
297,510,508,481.0,1
298,392,513,482.0,1
299,476,519,480.0,1
300,588,525,479.0,1
301,594,515,478.0,1
302,555,511,480.0,1
303,421,515,482.0,1
304,427,516,481.0,1
305,563,515,479.0,1
306,598,517,478.0,1
307,582,520,479.0,1
308,467,519,481.0,1
309,398,519,482.0,1
310,524,512,480.0,1
311,596,516,479.0,1
312,589,516,478.0,1
313,520,521,481.0,1
314,395,513,482.0,1
315,477,520,480.0,1
316,589,524,479.0,1
317,599,521,478.0,1
