TimeStamp,ECG Data,EMG Data,EDA Data,label
0,585,506,613.0,1
1,585,508,612.0,1
2,539,508,612.0,1
3,451,500,614.0,1
4,317,489,616.0,1
5,259,491,616.0,1
6,331,493,614.0,1
7,450,494,613.0,1
8,516,500,612.0,1
9,498,491,612.0,1
10,383,488,615.0,1
11,264,505,616.0,1
12,381,509,613.0,1
13,509,501,612.0,1
14,509,483,611.0,1
15,440,479,614.0,1
16,287,498,616.0,1
17,322,505,614.0,1
18,484,497,612.0,1
19,531,513,611.0,1
20,501,521,612.0,1
21,348,523,615.0,1
22,284,503,615.0,1
23,442,494,612.0,1
24,531,506,611.0,1
25,516,500,611.0,1
26,405,500,614.0,1
27,280,512,615.0,1
28,392,514,612.0,1
29,526,514,611.0,1
30,532,505,610.0,1
31,468,503,613.0,1
32,307,509,615.0,1
33,331,503,613.0,1
34,497,502,611.0,1
35,540,500,610.0,1
36,512,512,611.0,1
37,362,517,614.0,1
38,299,517,614.0,1
39,454,501,611.0,1
40,543,504,610.0,1
41,534,513,610.0,1
42,427,516,614.0,1
43,293,512,615.0,1
44,398,510,612.0,1
45,538,517,610.0,1
46,551,522,610.0,1
47,486,510,612.0,1
48,324,512,615.0,1
49,344,515,613.0,1
50,511,513,611.0,1
51,556,508,610.0,1
52,526,506,611.0,1
53,378,515,614.0,1
54,304,506,614.0,1
55,457,492,611.0,1
56,547,489,610.0,1
57,539,496,610.0,1
58,441,511,613.0,1
59,307,521,615.0,1
60,404,511,612.0,1
61,544,508,610.0,1
62,559,514,610.0,1
63,502,517,612.0,1
64,334,505,615.0,1
65,340,489,613.0,1
66,514,507,611.0,1
67,568,519,610.0,1
68,539,516,611.0,1
69,392,518,614.0,1
70,317,522,614.0,1
71,472,517,611.0,1
72,566,513,610.0,1
73,554,510,610.0,1
74,451,502,613.0,1
75,313,511,615.0,1
76,409,511,612.0,1
77,550,502,610.0,1
78,567,507,610.0,1
79,513,514,612.0,1
80,350,517,615.0,1
81,353,510,613.0,1
82,520,502,611.0,1
83,576,514,610.0,1
84,549,513,610.0,1
85,400,500,614.0,1
86,314,493,614.0,1
87,464,485,611.0,1
88,569,502,610.0,1
89,563,509,610.0,1
90,465,505,613.0,1
91,321,509,614.0,1
92,414,517,612.0,1
93,560,517,610.0,1
94,574,506,610.0,1
95,523,514,612.0,1
96,361,521,615.0,1
97,360,519,613.0,1
98,527,509,611.0,1
99,582,507,610.0,1
100,558,514,610.0,1
101,418,523,614.0,1
102,327,516,614.0,1
103,475,507,611.0,1
104,580,513,610.0,1
105,575,518,610.0,1
106,481,519,613.0,1
107,328,502,615.0,1
108,414,511,612.0,1
109,566,518,611.0,1
110,588,521,610.0,1
111,533,513,612.0,1
112,370,519,615.0,1
113,364,522,613.0,1
114,533,517,611.0,1
115,585,503,610.0,1
116,558,495,610.0,1
117,419,495,614.0,1
118,324,494,614.0,1
119,469,487,612.0,1
120,578,495,610.0,1
121,580,513,610.0,1
122,493,521,613.0,1
123,340,515,615.0,1
124,406,489,612.0,1
125,552,474,611.0,1
126,574,473,610.0,1
127,526,476,612.0,1
128,367,488,615.0,1
129,355,494,614.0,1
130,527,497,611.0,1
131,591,507,610.0,1
132,570,511,611.0,1
133,432,503,614.0,1
134,336,517,614.0,1
135,482,521,612.0,1
136,591,517,611.0,1
137,583,505,610.0,1
138,498,512,613.0,1
139,346,519,615.0,1
140,416,516,613.0,1
141,566,504,611.0,1
142,588,499,610.0,1
143,545,508,612.0,1
144,386,518,615.0,1
145,367,522,614.0,1
146,535,512,611.0,1
147,603,519,610.0,1
148,581,517,611.0,1
149,445,514,614.0,1
150,345,529,615.0,1
151,472,493,612.0,1
152,578,476,611.0,1
153,574,472,610.0,1
154,490,475,613.0,1
155,336,480,615.0,1
156,404,487,613.0,1
157,569,508,611.0,1
158,595,507,610.0,1
159,546,495,612.0,1
160,381,487,615.0,1
161,360,503,614.0,1
162,532,509,612.0,1
163,602,510,611.0,1
164,584,519,611.0,1
165,454,520,614.0,1
166,344,520,615.0,1
167,475,503,612.0,1
168,594,509,611.0,1
169,594,512,611.0,1
170,516,517,613.0,1
171,353,504,615.0,1
172,407,493,613.0,1
173,569,502,611.0,1
174,602,510,611.0,1
175,558,504,612.0,1
176,398,509,615.0,1
177,364,513,614.0,1
178,529,498,612.0,1
179,597,493,611.0,1
180,577,494,611.0,1
181,451,496,614.0,1
182,337,495,615.0,1
183,470,496,612.0,1
184,590,494,611.0,1
185,595,505,611.0,1
